source;destination;messageID;referencePositionLat;referencePositionLong;referencePositionAlt;simulationTime;isSpecialVehicle;causeCodeIfSpecial;stationType;
18;null;2;487669280;114602490;800001;0.659493;N;null;5;
92;null;2;487659630;114599970;800001;0.786275;N;null;5;
18;null;2;487669310;114602500;800001;0.859765;N;null;5;
92;null;2;487659650;114599980;800001;0.986003;N;null;5;
18;null;2;487669360;114602510;800001;1.15949;N;null;5;
18;null;2;487669360;114602510;800001;1.15949;N;null;5;
92;null;2;487659670;114599980;800001;1.186;N;null;5;
92;null;2;487659670;114599980;800001;1.186;N;null;5;
166;null;2;487668240;114602220;800001;1.23892;N;null;5;
166;null;2;487668240;114602220;800001;1.23892;N;null;5;
92;null;2;487659690;114599990;800001;1.38627;N;null;5;
92;null;2;487659690;114599990;800001;1.38627;N;null;5;
166;null;2;487668260;114602230;800001;1.43865;N;null;5;
166;null;2;487668260;114602230;800001;1.43865;N;null;5;   
18;null;2;487669430;114602530;800001;1.45976;N;null;5;
18;null;2;487669430;114602530;800001;1.45976;N;null;5;
92;null;2;487659730;114600000;800001;1.586;N;null;5;
92;null;2;487659730;114600000;800001;1.586;N;null;5;
166;null;2;487668280;114602230;800001;1.63865;N;null;5;
166;null;2;487668280;114602230;800001;1.63865;N;null;5;
166;null;2;487668280;114602230;800001;1.63865;N;null;5;
18;null;2;487669520;114602560;800001;1.75949;N;null;5;
18;null;2;487669520;114602560;800001;1.75949;N;null;5;
18;null;2;487669520;114602560;800001;1.75949;N;null;5;
240;null;2;487621600;114590280;800001;1.77965;N;null;5;
240;null;2;487621600;114590280;800001;1.77965;N;null;5;
240;null;2;487621600;114590280;800001;1.77965;N;null;5;
166;null;2;487668310;114602240;800001;1.83892;N;null;5;
166;null;2;487668310;114602240;800001;1.83892;N;null;5;
166;null;2;487668310;114602240;800001;1.83892;N;null;5;
92;null;2;487659790;114600010;800001;1.88627;N;null;5;
92;null;2;487659790;114600010;800001;1.88627;N;null;5;
92;null;2;487659790;114600010;800001;1.88628;N;null;5;
240;null;2;487621610;114590290;800001;1.97938;N;null;5;
240;null;2;487621610;114590290;800001;1.97938;N;null;5;
240;null;2;487621610;114590290;800001;1.97938;N;null;5;
166;null;2;487668350;114602250;800001;2.03865;N;null;5;
166;null;2;487668350;114602250;800001;2.03865;N;null;5;
166;null;2;487668350;114602250;800001;2.03865;N;null;5;
18;null;2;487669620;114602580;800001;2.05976;N;null;5;
18;null;2;487669620;114602580;800001;2.05976;N;null;5;
18;null;2;487669620;114602580;800001;2.05977;N;null;5;
240;null;2;487621640;114590290;800001;2.17938;N;null;5;
240;null;2;487621640;114590290;800001;2.17938;N;null;5;
240;null;2;487621640;114590290;800001;2.17938;N;null;5;
240;null;2;487621640;114590290;800001;2.17938;N;null;5;
92;null;2;487659880;114600040;800001;2.186;N;null;5;
92;null;2;487659880;114600040;800001;2.186;N;null;5;
92;null;2;487659880;114600040;800001;2.186;N;null;5;
92;null;2;487659880;114600040;800001;2.186;N;null;5;
314;null;2;487673730;114603660;800001;2.20919;N;null;5;
314;null;2;487673730;114603660;800001;2.20919;N;null;5;
314;null;2;487673730;114603660;800001;2.20919;N;null;5;
314;null;2;487673730;114603660;800001;2.20919;N;null;5;
166;null;2;487668400;114602260;800001;2.23865;N;null;5;
166;null;2;487668400;114602260;800001;2.23865;N;null;5;
166;null;2;487668400;114602260;800001;2.23865;N;null;5;
166;null;2;487668400;114602260;800001;2.23865;N;null;5;
18;null;2;487669740;114602620;800001;2.35949;N;null;5;
18;null;2;487669740;114602620;800001;2.35949;N;null;5;
18;null;2;487669740;114602620;800001;2.35949;N;null;5;
18;null;2;487669740;114602620;800001;2.35949;N;null;5;
240;null;2;487621670;114590300;800001;2.37965;N;null;5;
240;null;2;487621670;114590300;800001;2.37965;N;null;5;
240;null;2;487621670;114590300;800001;2.37965;N;null;5;
240;null;2;487621670;114590300;800001;2.37965;N;null;5;
314;null;2;487673740;114603660;800001;2.40892;N;null;5;
314;null;2;487673740;114603660;800001;2.40892;N;null;5;
314;null;2;487673740;114603660;800001;2.40892;N;null;5;
314;null;2;487673740;114603660;800001;2.40892;N;null;5;
166;null;2;487668460;114602280;800001;2.43892;N;null;5;
166;null;2;487668460;114602280;800001;2.43892;N;null;5;
166;null;2;487668460;114602280;800001;2.43892;N;null;5;
166;null;2;487668460;114602280;800001;2.43892;N;null;5;
92;null;2;487659980;114600060;800001;2.48627;N;null;5;
92;null;2;487659980;114600060;800001;2.48627;N;null;5;
92;null;2;487659980;114600060;800001;2.48628;N;null;5;
92;null;2;487659980;114600060;800001;2.48628;N;null;5;
240;null;2;487621700;114590310;800001;2.57938;N;null;5;
240;null;2;487621700;114590310;800001;2.57938;N;null;5;
240;null;2;487621700;114590310;800001;2.57938;N;null;5;
240;null;2;487621700;114590310;800001;2.57938;N;null;5;
314;null;2;487673760;114603670;800001;2.60892;N;null;5;
314;null;2;487673760;114603670;800001;2.60892;N;null;5;
314;null;2;487673760;114603670;800001;2.60892;N;null;5;
314;null;2;487673760;114603670;800001;2.60892;N;null;5;
314;null;2;487673760;114603670;800001;2.60892;N;null;5;
166;null;2;487668530;114602300;800001;2.63865;N;null;5;
166;null;2;487668530;114602300;800001;2.63865;N;null;5;
166;null;2;487668530;114602300;800001;2.63865;N;null;5;
166;null;2;487668530;114602300;800001;2.63865;N;null;5;
166;null;2;487668530;114602300;800001;2.63865;N;null;5;
18;null;2;487669880;114602650;800001;2.65976;N;null;5;
18;null;2;487669880;114602650;800001;2.65976;N;null;5;
18;null;2;487669880;114602650;800001;2.65976;N;null;5;
18;null;2;487669880;114602650;800001;2.65977;N;null;5;
18;null;2;487669880;114602650;800001;2.65977;N;null;5;
388;null;2;487630130;114592420;800001;2.7804;N;null;5;
388;null;2;487630130;114592420;800001;2.7804;N;null;5;
388;null;2;487630130;114592420;800001;2.7804;N;null;5;
388;null;2;487630130;114592420;800001;2.7804;N;null;5;
388;null;2;487630130;114592420;800001;2.7804;N;null;5;
92;null;2;487660100;114600090;800001;2.786;N;null;5;
92;null;2;487660100;114600090;800001;2.786;N;null;5;
92;null;2;487660100;114600090;800001;2.786;N;null;5;
92;null;2;487660100;114600090;800001;2.786;N;null;5;
92;null;2;487660100;114600090;800001;2.786;N;null;5;
314;null;2;487673790;114603670;800001;2.80919;N;null;5;
314;null;2;487673790;114603670;800001;2.80919;N;null;5;
