source;destination;messageID;actionID;situation_informationQ;situation_eventType;location_speed;location_heading;detection_time;reference_time;simulation_time;eventPos_lat;eventPos_long;eventPos_alt;relevanceDistance;termination;stationType;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.1387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.1387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.1387;487688270;114568460;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.1387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.1387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.1387;487672120;114603240;800001;0x560b09d88bc0;null;0;
906;null;1;906:1;1;97;233;80;425563207100;425563207100;7.13902;487664130;114601150;800001;0x560b09d9a690;null;0;
92;null;1;92:1;1;97;1317;80;425563207100;425563207100;7.13936;487663670;114600570;800001;0x560b09dad610;null;0;
92;null;1;92:1;1;97;1317;80;425563207100;425563207100;7.13936;487663670;114600570;800001;0x560b09dad610;null;0;
92;null;1;92:1;1;97;1317;80;425563207100;425563207100;7.13936;487663670;114600570;800001;0x560b09dad610;null;0;
92;null;1;92:1;1;97;1317;80;425563207100;425563207100;7.13936;487663670;114600570;800001;0x560b09dad610;null;0;
92;null;1;92:1;1;97;1317;80;425563207100;425563207100;7.13936;487663670;114600570;800001;0x560b09dad610;null;0;
18;null;1;18:1;1;97;1279;80;425563207100;425563207100;7.13969;487673700;114603650;800001;0x560b09d959e0;null;0;
832;null;1;832:1;1;97;282;78;425563207100;425563207100;7.14015;487668830;114602370;800001;0x560b09d95bb0;null;0;
832;null;1;832:1;1;97;282;78;425563207100;425563207100;7.14015;487668830;114602370;800001;0x560b09d95bb0;null;0;
832;null;1;832:1;1;97;282;78;425563207100;425563207100;7.14015;487668830;114602370;800001;0x560b09d95bb0;null;0;
832;null;1;832:1;1;97;282;78;425563207100;425563207100;7.14015;487668830;114602370;800001;0x560b09d95bb0;null;0;
832;null;1;832:1;1;97;282;78;425563207100;425563207100;7.14015;487668830;114602370;800001;0x560b09d95bb0;null;0;
832;null;1;832:1;1;97;282;78;425563207100;425563207100;7.14015;487668830;114602370;800001;0x560b09d95bb0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.2387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.2387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.2387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.2387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.2387;487672120;114603240;800001;0x560b09d88bc0;null;0;
166;null;1;166:1;1;97;1229;80;425563207100;425563207100;7.2387;487672120;114603240;800001;0x560b09d88bc0;null;0;
832;null;1;832:1;1;97;282;78;425563207100;425563207100;7.23925;487668830;114602370;800001;0x560b09d95bb0;null;0;
832;null;1;832:2;1;97;301;77;425563207200;425563207200;7.23925;487668860;114602380;800001;0x560b09d92db0;null;0;
92;null;1;92:1;1;97;1317;80;425563207100;425563207100;7.23925;487663670;114600570;800001;0x560b09dad610;null;0;
92;null;1;92:2;1;97;1336;80;425563207200;425563207200;7.23925;487644980;114615840;800001;0x560b09d6da70;null;0;
906;null;1;906:1;1;97;233;80;425563207100;425563207100;7.2398;487658500;114541940;800001;0x560b09d9a690;null;0;
906;null;1;906:2;1;97;253;80;425563207200;425563207200;7.2398;487664160;114601150;800001;0x560b09d86620;null;0;
906;null;1;906:1;1;97;233;80;425563207100;425563207100;7.2398;487664130;114601150;800001;0x560b09d9a690;null;0;
906;null;1;906:2;1;97;253;80;425563207200;425563207200;7.2398;487664160;114601150;800001;0x560b09d86620;null;0;
906;null;1;906:1;1;97;233;80;425563207100;425563207100;7.2398;487664130;114601150;800001;0x560b09d9a690;null;0;
906;null;1;906:2;1;97;253;80;425563207200;425563207200;7.2398;487664160;114601150;800001;0x560b09d86620;null;0;
906;null;1;906:1;1;97;233;80;425563207100;425563207100;7.2398;487664130;114601150;800001;0x560b09d9a690;null;0;
906;null;1;906:2;1;97;253;80;425563207200;425563207200;7.2398;487664160;114601150;800001;0x560b09d86620;null;0;
906;null;1;906:1;1;97;233;80;425563207100;425563207100;7.2398;487664130;114601150;800001;0x560b09d9a690;null;0;
906;null;1;906:2;1;97;253;80;425563207200;425563207200;7.2398;487664160;114601150;800001;0x560b09d86620;null;0;
684;null;1;684:1;1;97;535;80;425563207100;425563207100;7.24036;487665810;114601570;800001;0x560b09d99b10;null;0;
684;null;1;684:2;1;97;549;80;425563207200;425563207200;7.24036;487665860;114601590;800001;0x560b09dae570;null;0;
684;null;1;684:1;1;97;535;80;425563207100;425563207100;7.24036;487665810;114601570;800001;0x560b09d99b10;null;0;
684;null;1;684:2;1;97;549;80;425563207200;425563207200;7.24036;487665860;114601590;800001;0x560b09dae570;null;0;
684;null;1;684:1;1;97;535;80;425563207100;425563207100;7.24036;487665810;114601570;800001;0x560b09d99b10;null;0;
684;null;1;684:2;1;97;549;80;425563207200;425563207200;7.24036;487665860;114601590;800001;0x560b09dae570;null;0;
684;null;1;684:1;1;97;535;80;425563207100;425563207100;7.24036;487665810;114601570;800001;0x560b09d99b10;null;0;
684;null;1;684:2;1;97;549;80;425563207200;425563207200;7.24036;487665860;114601590;800001;0x560b09dae570;null;0;
